chapter,level,section,title,chars_total,chars_own,listings,figures,tables,equations,layer,note
ch04,subsection,数据请求与页面状态,拓展：认证契约测试与故障复盘,2923,2923,0,0,1,0,E,
ch04,subsection,数据请求与页面状态,拓展：事件循环与任务调度,277,277,1,0,0,0,E,
ch04,subsection,数据请求与页面状态,自测与下一步,266,266,0,0,0,0,C,
ch04,section,,DOM操作与事件处理,222,222,2,0,0,0,C,
ch04,section,,模块化开发与调试技巧,150,150,1,0,0,0,G,
ch04,section,,Vue 3组件化开发,382,382,1,1,0,0,C,
ch04,subsection,Vue 3组件化开发,Vue 3.4 组合式 API 与响应式状态,342,342,1,0,0,0,C,
ch04,subsection,Vue 3组件化开发,模板指令与组件通信,433,433,2,0,0,0,C,
ch04,subsection,Vue 3组件化开发,生命周期与资源清理,330,330,1,1,0,0,G,
ch04,subsection,Vue 3组件化开发,测站列表筛选页：从 SFC 到组件拆分,387,387,2,0,0,0,G,
ch04,subsubsection,Vue 3组件化开发,响应式 API 的选择方法,804,804,0,0,1,0,C,
ch04,subsubsection,Vue 3组件化开发,模板指令的性能与可访问性,449,449,0,0,0,0,C,
ch04,subsubsection,Vue 3组件化开发,组件通信的测试边界,305,305,0,0,0,0,C,
ch04,subsubsection,Vue 3组件化开发,生命周期、竞态与数据刷新,495,495,0,0,0,0,C,
ch04,subsubsection,Vue 3组件化开发,测站筛选页的交付检查,474,474,0,0,0,0,C,
ch04,section,,Vue Router与Pinia应用组织,122,122,0,0,0,0,G,
ch04,subsection,Vue Router与Pinia应用组织,根组件、路由表与登录守卫,723,723,6,0,0,0,G,
ch04,subsection,Vue Router与Pinia应用组织,StationDetail 的动态参数与数据加载,377,377,2,0,0,0,G,
ch04,subsection,Vue Router与Pinia应用组织,路由参数、查询状态与可恢复导航,680,680,0,0,0,0,G,
ch04,subsection,Vue Router与Pinia应用组织,Pinia 状态建模、错误恢复与持久化边界,781,781,1,0,0,0,G,
ch04,section,,Vite工程化与性能优化,1754,1754,4,0,0,0,E,
ch04,section,,小结,370,370,0,0,0,0,-,
ch04,section,,章末交付物,77,77,0,0,0,0,-,
ch04,section,,思考题与练习题,271,271,0,0,0,0,-,
ch05,section,,后端服务与REST接口概述,2663,2663,2,2,1,0,C,
ch05,section,,Spring Boot企业级开发基础,75,75,0,0,0,0,C,
ch05,subsection,Spring Boot企业级开发基础,起步依赖与自动配置的边界,373,373,1,0,0,0,C,
ch05,subsection,Spring Boot企业级开发基础,application.yml 与 Profile 多环境,237,237,1,0,0,0,G,
ch05,subsection,Spring Boot企业级开发基础,依赖注入与 Bean 生命周期,474,474,1,0,0,0,C,
ch05,subsection,Spring Boot企业级开发基础,自动配置诊断与启动契约,577,577,1,0,0,0,G,
ch05,subsection,Spring Boot企业级开发基础,Bean 作用域、代理与资源释放,391,391,0,0,0,0,E,
ch05,subsection,Spring Boot企业级开发基础,工程骨架的测试切片,582,582,3,0,0,0,G,
ch05,section,,Jakarta Persistence与事务管理,5,5,0,0,0,0,C,
ch05,subsection,Jakarta Persistence与事务管理,实体映射与Repository基础,401,401,1,0,0,0,C,
ch05,subsection,Jakarta Persistence与事务管理,关联关系与懒加载边界,273,273,1,0,0,0,G,
ch05,subsection,Jakarta Persistence与事务管理,N+1 查询与 fetch join,503,503,1,0,1,0,E,
ch05,subsection,Jakarta Persistence与事务管理,派生查询、Pageable 与稳定分页,224,224,1,0,0,0,G,
ch05,subsection,Jakarta Persistence与事务管理,乐观锁与审计字段,384,384,1,0,0,0,G,
ch05,subsection,Jakarta Persistence与事务管理,索引设计与 PostgreSQL 迁移,726,726,1,0,0,0,G,
ch05,subsection,Jakarta Persistence与事务管理,查询测试、执行计划与观测,1395,1395,0,0,0,0,E,
ch05,subsection,Jakarta Persistence与事务管理,统计服务中的数值稳定性,235,235,0,0,0,0,E,
ch05,subsection,Jakarta Persistence与事务管理,事务边界与传播,206,206,1,0,0,0,C,
ch05,subsection,Jakarta Persistence与事务管理,事务的 ACID 契约与边界,554,554,0,1,0,0,C,
ch05,subsection,Jakarta Persistence与事务管理,七种传播行为与使用场景,436,436,1,0,0,0,E,
ch05,subsection,Jakarta Persistence与事务管理,隔离级别与并发异常,1210,1210,1,0,0,0,E,
ch05,subsection,Jakarta Persistence与事务管理,只读事务与事件发布闭环,256,256,1,0,0,0,G,
ch05,subsection,Jakarta Persistence与事务管理,统计量更新,119,119,1,0,0,0,E,
ch05,section,,服务层与异常处理,167,167,1,0,0,0,C,
ch05,subsection,服务层与异常处理,读写接口的完整闭环,458,458,3,0,0,0,C,
ch05,subsection,服务层与异常处理,统一错误响应与参数校验,343,343,1,0,0,0,G,
ch05,subsection,服务层与异常处理,三层校验与错误定位,445,445,0,0,0,0,G,
ch05,subsection,服务层与异常处理,HTTP 状态转换与事务语义,511,511,0,0,0,0,E,
ch05,subsection,服务层与异常处理,DTO 契约与单位转换,293,293,0,0,0,0,G,
ch05,subsection,服务层与异常处理,测试矩阵与接口可观测性,985,985,0,0,0,0,E,
ch05,section,,Spring Security 6与JWT,1456,1456,8,2,0,0,G,
ch05,subsection,Spring Security 6与JWT,威胁模型与认证边界,322,322,0,0,0,0,G,
ch05,subsection,Spring Security 6与JWT,密钥生命周期与配置管理,263,263,0,0,0,0,E,
ch05,subsection,Spring Security 6与JWT,密码、账户与登录防护,258,258,0,0,0,0,G,
ch05,subsection,Spring Security 6与JWT,CSRF、CORS 与浏览器存储,379,379,0,0,0,0,E,
ch05,subsection,Spring Security 6与JWT,权限建模与最小授权,246,246,0,0,0,0,G,
ch05,subsection,Spring Security 6与JWT,撤销、重放与故障降级,306,306,0,0,0,0,E,
ch05,subsection,Spring Security 6与JWT,认证链路的可观测性与演练,399,399,0,0,0,0,E,
ch05,subsection,Spring Security 6与JWT,令牌失效与会话迁移,1110,1110,0,0,0,0,E,
ch05,section,,事务事件与消息队列,350,350,2,0,0,0,G,
ch05,subsection,事务事件与消息队列,为什么引入消息队列,418,418,1,0,0,0,C,
ch05,subsection,事务事件与消息队列,生产者、事件模式与发送确认,273,273,1,0,0,0,G,
ch05,subsection,事务事件与消息队列,消费者幂等与去重约束,282,282,1,0,0,0,G,
ch05,subsection,事务事件与消息队列,重试、退避与死信队列,260,260,1,0,0,0,G,
ch05,subsection,事务事件与消息队列,事务发件箱与可靠发布,460,460,1,0,0,0,G,
ch05,subsection,事务事件与消息队列,分区、顺序与消费者组,923,923,0,0,0,0,E,
ch05,section,,性能优化与可观测性,158,158,0,0,0,0,E,
ch05,subsection,性能优化与可观测性,缓存与 Redis 一致性,394,394,1,0,0,0,E,
ch05,subsection,性能优化与可观测性,分页、游标与查询预算,250,250,1,0,0,0,E,
ch05,subsection,性能优化与可观测性,连接池与慢查询定位,366,366,1,0,0,0,E,
ch05,subsection,性能优化与可观测性,Actuator、Micrometer 与结构化日志,675,675,2,0,1,0,E,
ch05,subsection,性能优化与可观测性,性能故障的分层处置,830,830,0,0,0,0,E,
ch05,section,,测试策略与质量门禁,2137,2137,3,0,2,0,G,
ch05,section,,小结,413,413,0,0,0,0,-,
ch05,section,,章末交付物,77,77,0,0,0,0,-,
ch05,section,,思考题与练习题,297,297,0,0,0,0,-,
ch06,section,,WebGL2与Three.js三维渲染基础,7,7,0,0,0,0,C,
ch06,subsection,WebGL2与Three.js三维渲染基础,坐标变换与透视投影,193,193,0,0,0,0,C,
ch06,subsection,WebGL2与Three.js三维渲染基础,WebGL2渲染管线,1371,1371,7,2,0,0,E,
ch06,subsection,WebGL2与Three.js三维渲染基础,Three.js场景组织与模型加载,171,171,1,0,0,0,C,
ch06,section,,GIS服务、坐标与二三维集成,10,10,0,0,0,0,C,
ch06,subsection,GIS服务、坐标与二三维集成,OGC地图与要素服务,3253,3253,5,0,1,0,G,
ch06,subsection,GIS服务、坐标与二三维集成,CGCS2000与投影坐标,615,615,2,1,1,0,C,
ch06,subsection,GIS服务、坐标与二三维集成,高程基准与空间一致性,3895,3895,3,0,0,0,C,
ch06,subsection,GIS服务、坐标与二三维集成,Cesium场景集成,82,82,1,0,0,0,E,
ch06,section,,倾斜摄影与BIM模型构建,9,9,0,0,0,0,C,
ch06,subsection,倾斜摄影与BIM模型构建,倾斜摄影数据生产,3835,3835,1,3,1,4,E,
ch06,subsection,倾斜摄影与BIM模型构建,BIM语义与IFC 4.3,1258,1258,0,0,1,0,E,
ch06,subsection,倾斜摄影与BIM模型构建,多源模型融合与发布,171,171,0,0,0,0,E,
ch06,section,,数字孪生水利平台架构概览,12,12,0,0,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,概念边界与五维组织,568,568,0,1,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,分层技术架构,284,284,0,1,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,跨层契约与架构演进,2590,2590,0,0,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,业务场景与需求分解,605,605,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,数据底板与模型平台,395,395,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,模型卡与可信度管理,689,689,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,事件时间、状态估计与质量码,849,849,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,三维交互与决策证据链,625,625,0,1,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,实时同步与闭环控制,247,247,1,1,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,接口与事件契约,511,511,1,1,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,大坝安全监测场景,406,406,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,流域预报调度场景,907,907,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,云边协同与部署,273,273,0,1,0,0,E,
ch06,subsection,数字孪生水利平台架构概览,安全、权限与失效降级,628,628,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,可观测性、数据血缘与运行值守,1124,1124,0,1,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,验证、验收与持续改进,411,411,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,课程项目实施路线,575,575,0,0,1,0,E,
ch06,subsection,数字孪生水利平台架构概览,发展重点,529,529,0,0,0,0,E,
ch06,section,,小结,429,429,0,0,0,0,-,
ch06,section,,章末交付物,81,81,0,0,0,0,-,
ch06,section,,思考题与练习题,497,497,0,0,0,0,-,
ch07,section,,面向可视化的数据准备,10,10,0,0,0,0,C,
ch07,subsection,面向可视化的数据准备,从观测记录到视觉变量,575,575,0,1,1,0,C,
ch07,subsection,面向可视化的数据准备,时间窗口、降采样与缺测,442,442,1,1,0,0,C,
ch07,subsection,面向可视化的数据准备,实时流、历史回放与时间对齐,1296,1296,2,0,1,0,G,
ch07,subsection,面向可视化的数据准备,数据质量检验、缺测断线与异常处理,1250,1250,2,0,0,0,G,
ch07,subsection,面向可视化的数据准备,多源异构数据的标准化与融合,592,592,1,1,0,0,E,
ch07,subsection,面向可视化的数据准备,案例的数据视图契约,238,238,0,0,1,0,C,
ch07,section,,图表与实时联动,7,7,0,0,0,0,C,
ch07,subsection,图表与实时联动,图表选型与视觉编码,1852,1852,1,2,1,0,C,
ch07,subsection,图表与实时联动,可运行的实时曲线,857,857,3,0,1,0,G,
ch07,subsection,图表与实时联动,渲染器、性能预算与生命周期,475,475,1,1,0,0,E,
ch07,subsection,图表与实时联动,图表与三维对象的双向联动,2574,2574,3,0,0,0,C,
ch07,subsection,图表与实时联动,响应式与异常状态,170,170,0,0,0,0,C,
ch07,subsection,图表与实时联动,专题地图的表达方式,703,703,2,1,0,0,E,
ch07,subsection,图表与实时联动,色彩体系与可读性,4232,4232,2,1,1,0,E,
ch07,section,,三维场景中的监测点绘制,11,11,0,0,0,0,C,
ch07,subsection,三维场景中的监测点绘制,坐标转换与局部原点,1062,1062,3,0,1,0,G,
ch07,subsection,三维场景中的监测点绘制,状态编码、LOD与聚合,866,866,1,1,0,0,E,
ch07,subsection,三维场景中的监测点绘制,状态变化与渲染更新,149,149,0,0,0,0,C,
ch07,section,,监测点互动与拾取技术,10,10,0,0,0,0,C,
ch07,subsection,监测点互动与拾取技术,射线拾取与安全的向量运算,707,707,2,1,0,0,C,
ch07,subsection,监测点互动与拾取技术,触控半径与世界单位,1373,1373,1,0,0,0,E,
ch07,subsection,监测点互动与拾取技术,信息面板与渐进披露,179,179,0,0,0,0,C,
ch07,subsection,监测点互动与拾取技术,案例联调与验收,210,210,0,0,0,0,G,
ch07,section,,小结,403,403,0,0,0,0,-,
ch07,section,,章末交付物,131,131,0,0,0,0,-,
ch07,section,,思考题与练习题,473,473,0,0,0,0,-,
ch08,section,,需求分析与业务闭环,9,9,0,0,0,0,C,
ch08,subsection,需求分析与业务闭环,案例边界与工程参数,488,488,0,0,1,0,C,
ch08,subsection,需求分析与业务闭环,角色、用例与权限边界,1011,1011,0,0,3,0,C,
ch08,subsection,需求分析与业务闭环,端到端业务闭环,215,215,0,1,0,0,C,
ch08,section,,总体架构与三维场景设计,11,11,0,0,0,0,C,
ch08,subsection,总体架构与三维场景设计,统一技术栈与分层架构,241,241,0,1,0,0,C,
ch08,subsection,总体架构与三维场景设计,Three.js主线与Cesium扩展,286,286,0,0,1,0,E,
ch08,subsection,总体架构与三维场景设计,场景组织、材质与交互,293,293,2,0,0,0,G,
ch08,section,,数据模型、前端展示与后端处理,13,13,0,0,0,0,C,
ch08,subsection,数据模型、前端展示与后端处理,数据模型与事件契约,242,242,0,0,1,0,C,
ch08,subsection,数据模型、前端展示与后端处理,关系模型、空间索引与时序分区,2971,2971,3,1,1,0,G,
ch08,subsection,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,2271,2271,21,0,0,0,G,
ch08,subsection,数据模型、前端展示与后端处理,从业务约束到物理设计的推导,4832,4832,0,1,0,0,E,
ch08,subsection,数据模型、前端展示与后端处理,Vue前端页面组织,3166,3166,5,0,0,0,G,
ch08,subsection,数据模型、前端展示与后端处理,Spring Boot后端与数据质量,331,331,1,0,0,0,G,
ch08,subsection,数据模型、前端展示与后端处理,监测主线后端实现,3474,3474,8,0,0,0,G,
ch08,subsection,数据模型、前端展示与后端处理,存储、缓存与一致性,212,212,0,0,0,0,E,
ch08,section,,智能分析、预警与业务闭环,11,11,0,0,0,0,C,
ch08,subsection,智能分析、预警与业务闭环,蓝黄橙红四级预警,990,990,1,0,2,0,C,
ch08,subsection,智能分析、预警与业务闭环,从预警到工单与复盘,190,190,0,1,0,0,G,
ch08,subsection,智能分析、预警与业务闭环,模型可信度与人在回路,587,587,0,0,1,0,E,
ch08,subsubsection,智能分析、预警与业务闭环,闸门公式的代入与反算边界,303,303,0,0,0,0,C,
ch08,subsubsection,智能分析、预警与业务闭环,计算题一：目标泄流的开度组合,282,282,0,0,0,0,C,
ch08,subsubsection,智能分析、预警与业务闭环,计算题二：水量平衡闭合差,246,246,0,0,0,0,C,
ch08,subsubsection,智能分析、预警与业务闭环,水位包络、预警分级与参数一致性,177,177,0,0,0,0,C,
ch08,subsubsection,智能分析、预警与业务闭环,参数驱动的测试与审计,899,899,0,0,0,0,C,
ch08,section,,数字孪生水利平台案例,158,158,0,0,0,0,E,
ch08,subsection,数字孪生水利平台案例,案例来源、边界与建设目标,958,958,0,2,1,0,E,
ch08,subsection,数字孪生水利平台案例,防台防洪预演的输入与输出,726,726,0,2,1,0,E,
